Your Rank,Latitude,Longitude
8,47.5441834640328,-122.448372546332
8,47.5545098548852,-122.448372546332
6,47.5648362457377,-122.448372546332
6,47.5751626365901,-122.448372546332
5,47.5854890274426,-122.448372546332
6,47.5958154182951,-122.448372546332
7,47.6061418091475,-122.448372546332
7,47.6164682,-122.448372546332
7,47.6267945908525,-122.448372546332
7,47.6371209817049,-122.448372546332
7,47.6474473725574,-122.448372546332
7,47.6577737634099,-122.448372546332
7,47.6681001542623,-122.448372546332
9,47.6784265451148,-122.448372546332
10,47.6887529359672,-122.448372546332
8,47.5441834640328,-122.433053539713
6,47.5545098548852,-122.433053539713
5,47.5648362457377,-122.433053539713
5,47.5751626365901,-122.433053539713
5,47.5854890274426,-122.433053539713
5,47.5958154182951,-122.433053539713
6,47.6061418091475,-122.433053539713
7,47.6164682,-122.433053539713
7,47.6267945908525,-122.433053539713
8,47.6371209817049,-122.433053539713
8,47.6474473725574,-122.433053539713
7,47.6577737634099,-122.433053539713
8,47.6681001542623,-122.433053539713
9,47.6784265451148,-122.433053539713
9,47.6887529359672,-122.433053539713
8,47.5441834640328,-122.417734533094
8,47.5545098548852,-122.417734533094
8,47.5648362457377,-122.417734533094
2,47.5751626365901,-122.417734533094
4,47.5854890274426,-122.417734533094
4,47.5958154182951,-122.417734533094
4,47.6061418091475,-122.417734533094
5,47.6164682,-122.417734533094
5,47.6267945908525,-122.417734533094
6,47.6371209817049,-122.417734533094
6,47.6474473725574,-122.417734533094
7,47.6577737634099,-122.417734533094
11,47.6681001542623,-122.417734533094
11,47.6784265451148,-122.417734533094
10,47.6887529359672,-122.417734533094
8,47.5441834640328,-122.402415526476
8,47.5545098548852,-122.402415526476
9,47.5648362457377,-122.402415526476
2,47.5751626365901,-122.402415526476
4,47.5854890274426,-122.402415526476
5,47.5958154182951,-122.402415526476
4,47.6061418091475,-122.402415526476
4,47.6164682,-122.402415526476
6,47.6267945908525,-122.402415526476
6,47.6371209817049,-122.402415526476
7,47.6474473725574,-122.402415526476
5,47.6577737634099,-122.402415526476
11,47.6681001542623,-122.402415526476
11,47.6784265451148,-122.402415526476
9,47.6887529359672,-122.402415526476
9,47.5441834640328,-122.387096519857
8,47.5545098548852,-122.387096519857
5,47.5648362457377,-122.387096519857
3,47.5751626365901,-122.387096519857
4,47.5854890274426,-122.387096519857
4,47.5958154182951,-122.387096519857
5,47.6061418091475,-122.387096519857
5,47.6164682,-122.387096519857
6,47.6267945908525,-122.387096519857
7,47.6371209817049,-122.387096519857
7,47.6474473725574,-122.387096519857
7,47.6577737634099,-122.387096519857
11,47.6681001542623,-122.387096519857
11,47.6784265451148,-122.387096519857
9,47.6887529359672,-122.387096519857
9,47.5441834640328,-122.371777513238
8,47.5545098548852,-122.371777513238
9,47.5648362457377,-122.371777513238
3,47.5751626365901,-122.371777513238
5,47.5854890274426,-122.371777513238
5,47.5958154182951,-122.371777513238
5,47.6061418091475,-122.371777513238
5,47.6164682,-122.371777513238
