Your Rank,Latitude,Longitude
20+,32.8168738640328,-96.8548326816897
20+,32.8272002548852,-96.8548326816897
17,32.8375266457377,-96.8548326816897
20+,32.8478530365901,-96.8548326816897
20+,32.8581794274426,-96.8548326816897
20+,32.8685058182951,-96.8548326816897
19,32.8788322091475,-96.8548326816897
18,32.8891586,-96.8548326816897
17,32.8994849908525,-96.8548326816897
16,32.9098113817049,-96.8548326816897
17,32.9201377725574,-96.8548326816897
17,32.9304641634099,-96.8548326816897
17,32.9407905542623,-96.8548326816897
20+,32.9511169451148,-96.8548326816897
20+,32.9614433359673,-96.8548326816897
20+,32.8168738640328,-96.8425352985912
20+,32.8272002548852,-96.8425352985912
20+,32.8375266457377,-96.8425352985912
20,32.8478530365901,-96.8425352985912
20+,32.8581794274426,-96.8425352985912
19,32.8685058182951,-96.8425352985912
11,32.8788322091475,-96.8425352985912
18,32.8891586,-96.8425352985912
16,32.8994849908525,-96.8425352985912
16,32.9098113817049,-96.8425352985912
17,32.9201377725574,-96.8425352985912
18,32.9304641634099,-96.8425352985912
17,32.9407905542623,-96.8425352985912
20+,32.9511169451148,-96.8425352985912
20+,32.9614433359673,-96.8425352985912
20+,32.8168738640328,-96.8302379154927
20+,32.8272002548852,-96.8302379154927
20+,32.8375266457377,-96.8302379154927
20,32.8478530365901,-96.8302379154927
20,32.8581794274426,-96.8302379154927
10,32.8685058182951,-96.8302379154927
16,32.8788322091475,-96.8302379154927
16,32.8891586,-96.8302379154927
13,32.8994849908525,-96.8302379154927
13,32.9098113817049,-96.8302379154927
15,32.9201377725574,-96.8302379154927
11,32.9304641634099,-96.8302379154927
18,32.9407905542623,-96.8302379154927
20+,32.9511169451148,-96.8302379154927
20+,32.9614433359673,-96.8302379154927
20+,32.8168738640328,-96.8179405323941
20+,32.8272002548852,-96.8179405323941
15,32.8375266457377,-96.8179405323941
20+,32.8478530365901,-96.8179405323941
20,32.8581794274426,-96.8179405323941
16,32.8685058182951,-96.8179405323941
