Your Rank,Latitude,Longitude
20+,39.8769794640328,-75.2597505973277
20+,39.8873058548852,-75.2597505973277
20+,39.8976322457377,-75.2597505973277
18,39.9079586365901,-75.2597505973277
20+,39.9182850274426,-75.2597505973277
20+,39.9286114182951,-75.2597505973277
20+,39.9389378091475,-75.2597505973277
20+,39.9492642,-75.2597505973277
20+,39.9595905908525,-75.2597505973277
20+,39.9699169817049,-75.2597505973277
20+,39.9802433725574,-75.2597505973277
20+,39.9905697634099,-75.2597505973277
20+,40.0008961542623,-75.2597505973277
20+,40.0112225451148,-75.2597505973277
20+,40.0215489359672,-75.2597505973277
20+,39.8769794640328,-75.2462804548523
20+,39.8873058548852,-75.2462804548523
19,39.8976322457377,-75.2462804548523
18,39.9079586365901,-75.2462804548523
18,39.9182850274426,-75.2462804548523
15,39.9286114182951,-75.2462804548523
18,39.9389378091475,-75.2462804548523
16,39.9492642,-75.2462804548523
18,39.9595905908525,-75.2462804548523
19,39.9699169817049,-75.2462804548523
19,39.9802433725574,-75.2462804548523
20+,39.9905697634099,-75.2462804548523
20+,40.0008961542623,-75.2462804548523
20+,40.0112225451148,-75.2462804548523
20+,40.0215489359672,-75.2462804548523
20+,39.8769794640328,-75.2328103123769
20+,39.8873058548852,-75.2328103123769
19,39.8976322457377,-75.2328103123769
19,39.9079586365901,-75.2328103123769
19,39.9182850274426,-75.2328103123769
19,39.9286114182951,-75.2328103123769
18,39.9389378091475,-75.2328103123769
18,39.9492642,-75.2328103123769
19,39.9595905908525,-75.2328103123769
20,39.9699169817049,-75.2328103123769
20+,39.9802433725574,-75.2328103123769
16,39.9905697634099,-75.2328103123769
20+,40.0008961542623,-75.2328103123769
20+,40.0112225451148,-75.2328103123769
20+,40.0215489359672,-75.2328103123769
20+,39.8769794640328,-75.2193401699016
20+,39.8873058548852,-75.2193401699016
19,39.8976322457377,-75.2193401699016
19,39.9079586365901,-75.2193401699016
15,39.9182850274426,-75.2193401699016
18,39.9286114182951,-75.2193401699016
20,39.9389378091475,-75.2193401699016
19,39.9492642,-75.2193401699016
17,39.9595905908525,-75.2193401699016
20,39.9699169817049,-75.2193401699016
