Your Rank,Latitude,Longitude
8,32.7200529640328,-96.8915190408407
9,32.7303793548852,-96.8915190408407
4,32.7407057457377,-96.8915190408407
7,32.7510321365901,-96.8915190408407
7,32.7613585274426,-96.8915190408407
5,32.7716849182951,-96.8915190408407
5,32.7820113091475,-96.8915190408407
7,32.7923377,-96.8915190408407
9,32.8026640908525,-96.8915190408407
9,32.8129904817049,-96.8915190408407
11,32.8233168725574,-96.8915190408407
9,32.8336432634099,-96.8915190408407
10,32.8439696542623,-96.8915190408407
19,32.8542960451148,-96.8915190408407
20+,32.8646224359672,-96.8915190408407
8,32.7200529640328,-96.8792350635777
9,32.7303793548852,-96.8792350635777
6,32.7407057457377,-96.8792350635777
9,32.7510321365901,-96.8792350635777
9,32.7613585274426,-96.8792350635777
9,32.7716849182951,-96.8792350635777
9,32.7820113091475,-96.8792350635777
9,32.7923377,-96.8792350635777
10,32.8026640908525,-96.8792350635777
13,32.8129904817049,-96.8792350635777
13,32.8233168725574,-96.8792350635777
12,32.8336432634099,-96.8792350635777
12,32.8439696542623,-96.8792350635777
20+,32.8542960451148,-96.8792350635777
20+,32.8646224359672,-96.8792350635777
9,32.7200529640328,-96.8669510863148
9,32.7303793548852,-96.8669510863148
6,32.7407057457377,-96.8669510863148
9,32.7510321365901,-96.8669510863148
8,32.7613585274426,-96.8669510863148
8,32.7716849182951,-96.8669510863148
9,32.7820113091475,-96.8669510863148
9,32.7923377,-96.8669510863148
10,32.8026640908525,-96.8669510863148
12,32.8129904817049,-96.8669510863148
13,32.8233168725574,-96.8669510863148
12,32.8336432634099,-96.8669510863148
12,32.8439696542623,-96.8669510863148
20+,32.8542960451148,-96.8669510863148
20+,32.8646224359672,-96.8669510863148
10,32.7200529640328,-96.8546671090518
9,32.7303793548852,-96.8546671090518
5,32.7407057457377,-96.8546671090518
9,32.7510321365901,-96.8546671090518
10,32.7613585274426,-96.8546671090518
8,32.7716849182951,-96.8546671090518
9,32.7820113091475,-96.8546671090518
9,32.7923377,-96.8546671090518
8,32.8026640908525,-96.8546671090518
11,32.8129904817049,-96.8546671090518
11,32.8233168725574,-96.8546671090518
13,32.8336432634099,-96.8546671090518
12,32.8439696542623,-96.8546671090518
20+,32.8542960451148,-96.8546671090518
20+,32.8646224359672,-96.8546671090518
11,32.7200529640328,-96.8423831317889
10,32.7303793548852,-96.8423831317889
4,32.7407057457377,-96.8423831317889
9,32.7510321365901,-96.8423831317889
10,32.7613585274426,-96.8423831317889
7,32.7716849182951,-96.8423831317889
10,32.7820113091475,-96.8423831317889
8,32.7923377,-96.8423831317889
9,32.8026640908525,-96.8423831317889
11,32.8129904817049,-96.8423831317889
11,32.8233168725574,-96.8423831317889
12,32.8336432634099,-96.8423831317889
