"Business:","Spear Greenfield Personal Injury Attorneys,1500 John F Kennedy Blvd Suite #200, Philadelphia, PA 19102"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 12:48:10
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","5.58"
"ATRP:","6.40"
"SoLV:","36.89"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"3","40.01545724511478","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=40.01545724511478,40.01545724511478","The Levin Firm","Ciccarelli Law Offices","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","The Brod Law Firm","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","KaplunMarx","Dan Doyle Law Group Personal Injury Attorney","Philly Injury Law","The Levin Firm","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Ostroff Injury Law","Lundy Law","Philly Injury Law","Katz Injury Law Firm","Villari, Brandes & Giannone, P.C.",
"3","40.036110026819706","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=40.036110026819706,40.036110026819706","Ciccarelli Law Offices","The Levin Firm","Spear Greenfield Personal Injury Attorneys","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Car Accident Lawyers Philadelphia LLC","Villari, Brandes & Giannone, P.C.","The Levin Firm","The Brod Law Firm","Ostroff Injury Law","Rosenbaum & Associates","KaplunMarx","MyPhillyLawyer","Jon Ostroff, Personal Injury Attorney","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Philly Injury Law","Dan Doyle Law Group Personal Injury Attorney","Soloff & Zervanos Personal Injury Attorney","Philly Injury Law","Lundy Law",
"5","40.05676280852464","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=40.05676280852464,40.05676280852464","The Levin Firm","Ciccarelli Law Offices","The Levin Firm","Ostroff Injury Law","Spear Greenfield Personal Injury Attorneys","Villari, Brandes & Giannone, P.C.","Munley Law Personal Injury Attorneys","Jon Ostroff, Personal Injury Attorney","Car Accident Lawyers Philadelphia LLC","The Brod Law Firm","Rosenbaum & Associates","KaplunMarx","MyPhillyLawyer","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Philly Injury Law","Dan Doyle Law Group Personal Injury Attorney",
"6","40.07741559022956","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=40.07741559022956,40.07741559022956","The Levin Firm","The Levin Firm","Ostroff Injury Law","Ciccarelli Law Offices","Villari, Brandes & Giannone, P.C.","Spear Greenfield Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Munley Law Personal Injury Attorneys","Carpey Law","The Brod Law Firm","KaplunMarx","Rosenbaum & Associates","MyPhillyLawyer","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","The Law Offices of Creedon & Feliciani, P.C.","Picker Jonathan","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Philly Injury Law",
"11","40.09806837193449","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=40.09806837193449,40.09806837193449","The Levin Firm","Ostroff Injury Law","The Levin Firm","Villari, Brandes & Giannone, P.C.","Carpey Law","The Brod Law Firm","Ciccarelli Law Offices","Car Accident Lawyers Philadelphia LLC","Picker Jonathan","The Law Offices of Creedon & Feliciani, P.C.","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","KaplunMarx","Patriot Firm","Philly Injury Law","Rosenbaum & Associates","Philly Injury Law","Ethen Ostroff, Personal Injury Lawyer","Lundy Law","The Law Offices Of Mitchell Clair",
"2","39.80892942806551","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.80892942806551,39.80892942806551","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","Petrillo & Goldberg Law","Dan Doyle Law Group Personal Injury Attorney","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Justice Guardians","Philadelphia Injury Lawyers P.C.","Lundy Law","Soloff & Zervanos Personal Injury Attorney","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Delaware Injury lawyer","Silverman, McDonald & Friedman","KaplunMarx","Lundy Law",
"2","39.829582209770436","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.829582209770436,39.829582209770436","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Justice Guardians","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Petrillo & Goldberg Law","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Steven L. Chung, Esquire, LLC","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Reiff Law Firm","KaplunMarx","KaplunMarx","Carpey Law","Silverman, McDonald & Friedman",
"20+","39.85023499147536","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.85023499147536,39.85023499147536","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Rosenbaum & Associates","Munley Law Personal Injury Attorneys","Philly Injury Law","Justice Guardians","Lundy Law","KaplunMarx","KaplunMarx","Dan Doyle Law Group Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Zavodnick, Zavodnick & Lasky, LLC","Silverman, McDonald & Friedman","Reiff Law Firm","Freibott Law Firm","Steven L. Chung, Esquire, LLC","Soloff & Zervanos Personal Injury Attorney","Car Accident Lawyers Philadelphia LLC",
"20+","39.87088777318029","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.87088777318029,39.87088777318029","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Rosenbaum & Associates","Dan Doyle Law Group Personal Injury Attorney","Munley Law Personal Injury Attorneys","Justice Guardians","Philly Injury Law","Lundy Law","KaplunMarx","KaplunMarx","Philadelphia Injury Lawyers P.C.","Zavodnick, Zavodnick & Lasky, LLC","Steven L. Chung, Esquire, LLC","Soloff & Zervanos Personal Injury Attorney","Silverman, McDonald & Friedman","Reiff Law Firm","Car Accident Lawyers Philadelphia LLC","The Rothenberg Law Firm LLP",
"4","39.89154055488522","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.89154055488522,39.89154055488522","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","TopDog Law","Rosenbaum & Associates","Donaghue & Labrum, LLP","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Car Accident Lawyers Philadelphia LLC","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Petrillo & Goldberg Law","KaplunMarx","Carpey Law","McCann & Wall, LLC",
"4","39.91219333659014","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.91219333659014,39.91219333659014","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","TopDog Law","Rosenbaum & Associates","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Car Accident Lawyers Philadelphia LLC","Donaghue & Labrum, LLP","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Steven L. Chung, Esquire, LLC","KaplunMarx","Reiff Law Firm","Petrillo & Goldberg Law","The Brod Law Firm","Carpey Law",
"3","39.932846118295075","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.932846118295075,39.932846118295075","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","TopDog Law","Justice Guardians","Rosenbaum & Associates","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Donaghue & Labrum, LLP","Car Accident Lawyers Philadelphia LLC","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","KaplunMarx","Lundy Law","Katz Injury Law Firm","Steven L. Chung, Esquire, LLC","Reiff Law Firm","The Brod Law Firm","Philly Injury Law",
"3","39.9534989","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.9534989,39.9534989","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","TopDog Law","MyPhillyLawyer","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","KaplunMarx","Donaghue & Labrum, LLP","Lundy Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Justice Guardians","Katz Injury Law Firm","The Brod Law Firm","Reiff Law Firm","Philly Injury Law","Steven L. Chung, Esquire, LLC",
"2","39.974151681704924","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.974151681704924,39.974151681704924","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","TopDog Law","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","KaplunMarx","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","The Brod Law Firm","Katz Injury Law Firm","Steven L. Chung, Esquire, LLC","Philly Injury Law","Reiff Law Firm","Justice Guardians","Philly Injury Law",
"2","39.99480446340986","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=39.99480446340986,39.99480446340986","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Ciccarelli Law Offices","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","KaplunMarx","Dan Doyle Law Group Personal Injury Attorney","Law Offices Of Jeffrey H. Penneys, P.C.","The Brod Law Firm","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Katz Injury Law Firm","TopDog Law","Steven L. Chung, Esquire, LLC","Philly Injury Law","Reiff Law Firm",
"2","40.01545724511478","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=40.01545724511478,40.01545724511478","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Ciccarelli Law Offices","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","KaplunMarx","The Brod Law Firm","MyPhillyLawyer","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Law Offices Of Jeffrey H. Penneys, P.C.","Lundy Law","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Philly Injury Law","Katz Injury Law Firm","Steven L. Chung, Esquire, LLC","Villari, Brandes & Giannone, P.C.","Reiff Law Firm",
"8","40.036110026819706","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=40.036110026819706,40.036110026819706","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","KaplunMarx","Rosenbaum & Associates","Ostroff Injury Law","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Spear Greenfield Personal Injury Attorneys","Lundy Law","Philadelphia Injury Lawyers P.C.","Car Accident Lawyers Philadelphia LLC","Villari, Brandes & Giannone, P.C.","Steven L. Chung, Esquire, LLC","KaplunMarx","Reiff Law Firm","Zavodnick, Zavodnick & Lasky, LLC","The Heslin Law Firm","Soloff & Zervanos Personal Injury Attorney","Carpey Law","The Rothenberg Law Firm LLP",
"6","40.05676280852464","-75.32753961734988","https://www.google.com/maps/search/?api=1&query=40.05676280852464,40.05676280852464","The Levin Firm","The Levin Firm","Ciccarelli Law Offices","Villari, Brandes & Giannone, P.C.","Ostroff Injury Law","Spear Greenfield Personal Injury Attorneys","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","The Brod Law Firm","KaplunMarx","Jon Ostroff, Personal Injury Attorney","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Philly Injury Law","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","Lundy Law","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney",
