"Business:","The Brod Law Firm,7600 Stenton Ave, Philadelphia, PA 19118"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 06:26:19
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","4.31"
"ATRP:","5.65"
"SoLV:","54.22"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"3","40.10411517255739","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.10411517255739,40.10411517255739","Ostroff Injury Law","The Levin Firm","The Brod Law Firm","Carpey Law","The Levin Firm","Car Accident Lawyers Philadelphia LLC","Villari, Brandes & Giannone, P.C.","Spear Greenfield Personal Injury Attorneys","Worthington Law Group","Philly Injury Law","Munley Law Personal Injury Attorneys","Lundy Law","Benedum Law","The Law Offices Of Mitchell Clair","KaplunMarx","Rosenbaum & Associates","Ethen Ostroff, Personal Injury Lawyer","Patriot Firm","Philly Injury Law","Ciccarelli Law Offices",
"4","40.114441563409855","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.114441563409855,40.114441563409855","Ostroff Injury Law","The Levin Firm","Carpey Law","The Brod Law Firm","The Levin Firm","Car Accident Lawyers Philadelphia LLC","Spear Greenfield Personal Injury Attorneys","Villari, Brandes & Giannone, P.C.","Munley Law Personal Injury Attorneys","Philly Injury Law","Worthington Law Group","The Law Offices Of Mitchell Clair","Patriot Firm","Ethen Ostroff, Personal Injury Lawyer","Philly Injury Law","Lundy Law","Benedum Law","Rosenbaum & Associates","KaplunMarx","Philly Injury Law",
"4","40.12476795426232","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.12476795426232,40.12476795426232","Ostroff Injury Law","The Levin Firm","Carpey Law","The Brod Law Firm","The Levin Firm","Car Accident Lawyers Philadelphia LLC","Ethen Ostroff, Personal Injury Lawyer","The Law Offices Of Mitchell Clair","Lundy Law","Worthington Law Group","Patriot Firm","Philly Injury Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Benedum Law","Villari, Brandes & Giannone, P.C.","Philly Injury Law","Rosenbaum & Associates","Picker Jonathan","KaplunMarx",
"3","40.13509434511478","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.13509434511478,40.13509434511478","Ostroff Injury Law","The Levin Firm","The Brod Law Firm","The Levin Firm","Carpey Law","Car Accident Lawyers Philadelphia LLC","The Law Offices Of Mitchell Clair","Lundy Law","Patriot Firm","Worthington Law Group","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Philly Injury Law","Philly Injury Law","Rosenbaum & Associates","Picker Jonathan","The Law Offices of Creedon & Feliciani, P.C.","Philly Injury Law","KaplunMarx","The Heslin Law Firm",
"8","40.14542073596724","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.14542073596724,40.14542073596724","Ostroff Injury Law","The Levin Firm","Lundy Law","The Law Offices Of Mitchell Clair","Carpey Law","The Levin Firm","Car Accident Lawyers Philadelphia LLC","The Brod Law Firm","Patriot Firm","Ethen Ostroff, Personal Injury Lawyer","Worthington Law Group","Philly Injury Law","Spear Greenfield Personal Injury Attorneys","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Philly Injury Law","Picker Jonathan","The Law Offices of Creedon & Feliciani, P.C.","The Heslin Law Firm","KaplunMarx","Philly Injury Law",
"12","40.000851264032754","-75.27151666417103","https://www.google.com/maps/search/?api=1&query=40.000851264032754,40.000851264032754","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","KaplunMarx","Rosenbaum & Associates","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Car Accident Lawyers Philadelphia LLC","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","The Brod Law Firm","Steven L. Chung, Esquire, LLC","Philly Injury Law","TopDog Law","Reiff Law Firm","PhillyLaw Injury Lawyer","Carpey Law","Dan Doyle Law Group","Philly Injury Law",
"6","40.011177654885216","-75.27151666417103","https://www.google.com/maps/search/?api=1&query=40.011177654885216,40.011177654885216","The Levin Firm","Spear Greenfield Personal Injury Attorneys","KaplunMarx","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","The Brod Law Firm","Philly Injury Law","Car Accident Lawyers Philadelphia LLC","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Philly Injury Law","TopDog Law","Steven L. Chung, Esquire, LLC","Reiff Law Firm","PhillyLaw Injury Lawyer","Philly Injury Law","KaplunMarx","Dan Doyle Law Group",
"4","40.02150404573768","-75.27151666417103","https://www.google.com/maps/search/?api=1&query=40.02150404573768,40.02150404573768","The Levin Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","The Brod Law Firm","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Philly Injury Law","TopDog Law","Lundy Law","Steven L. Chung, Esquire, LLC","Villari, Brandes & Giannone, P.C.","Reiff Law Firm","Philly Injury Law","Ostroff Injury Law","The Levin Firm",
"2","40.03183043659014","-75.27151666417103","https://www.google.com/maps/search/?api=1&query=40.03183043659014,40.03183043659014","The Levin Firm","The Brod Law Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney","TopDog Law","Philadelphia Injury Lawyers P.C.","Lundy Law","Villari, Brandes & Giannone, P.C.","Ostroff Injury Law","Steven L. Chung, Esquire, LLC","The Levin Firm","Philly Injury Law","Reiff Law Firm",
"2","40.042156827442604","-75.27151666417103","https://www.google.com/maps/search/?api=1&query=40.042156827442604,40.042156827442604","The Levin Firm","The Brod Law Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Philly Injury Law","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","TopDog Law","Ostroff Injury Law","Villari, Brandes & Giannone, P.C.","Soloff & Zervanos Personal Injury Attorney","The Levin Firm","Philadelphia Injury Lawyers P.C.","Lundy Law","Philly Injury Law","Steven L. Chung, Esquire, LLC","Jon Ostroff, Personal Injury Attorney",
