"Business:","Lee, Gober & Reyna, PLLC,11940 Jollyville Rd suite 220-s, Austin, TX 78759"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:42:49
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","5.41"
"ATRP:","7.63"
"SoLV:","36.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"2","30.48697674511478","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.48697674511478,30.48697674511478","The Valentine Law Firm","Lee, Gober & Reyna, PLLC","Amaro Law Firm Injury & Accident Lawyers","FVF Law","Zinda Law Group","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Zinda Law Group","Reyna Law Firm","Joe Lopez Law","The Law Office of Carl Knickerbocker, P.C.","Funk & Associates","Robson Law Firm Injury Lawyer","The Carlson Law Firm","Terry & Kelly, PLLC","Sutliff & Stout Injury & Accident Law Firm","Alex R. Hernandez Jr. PLLC - Round Rock","DC Law","The Zimmerman Law Firm","The Traub Law Office P.C.",
"2","30.50762952681971","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.50762952681971,30.50762952681971","The Valentine Law Firm","Lee, Gober & Reyna, PLLC","FVF Law","Amaro Law Firm Injury & Accident Lawyers","Lorenz & Lorenz, L.L.P.","Zinda Law Group","Zinda Law Group","McMinn Law Firm","Robson Law Firm Injury Lawyer","Reyna Law Firm","Joe Lopez Law","The Law Office of Carl Knickerbocker, P.C.","Funk & Associates","The Carlson Law Firm","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Alex R. Hernandez Jr. PLLC - Round Rock","The Zimmerman Law Firm","The Traub Law Office P.C.","DC Law",
"2","30.528282308524634","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.528282308524634,30.528282308524634","The Valentine Law Firm","Lee, Gober & Reyna, PLLC","FVF Law","Amaro Law Firm Injury & Accident Lawyers","Lorenz & Lorenz, L.L.P.","Zinda Law Group","McMinn Law Firm","Zinda Law Group","The Zimmerman Law Firm","Funk & Associates","Joe Lopez Law","The Carlson Law Firm","Robson Law Firm Injury Lawyer","Terry & Kelly, PLLC","Alex R. Hernandez Jr. PLLC - Round Rock","The Law Office of Carl Knickerbocker, P.C.","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","The Law Office of Carl Knickerbocker, P.C.","Sutliff & Stout Injury & Accident Law Firm",
"2","30.548935090229563","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.548935090229563,30.548935090229563","The Valentine Law Firm","Lee, Gober & Reyna, PLLC","FVF Law","Zinda Law Group","Lorenz & Lorenz, L.L.P.","Amaro Law Firm Injury & Accident Lawyers","Zinda Law Group","McMinn Law Firm","The Carlson Law Firm","Alex R. Hernandez Jr. PLLC - Round Rock","The Zimmerman Law Firm","Robson Law Firm Injury Lawyer","Funk & Associates","Joe Lopez Law","The Law Office of Carl Knickerbocker, P.C.","The Law Office of Carl Knickerbocker, P.C.","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Sutliff & Stout Injury & Accident Law Firm",
"2","30.56958787193449","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.56958787193449,30.56958787193449","The Valentine Law Firm","Lee, Gober & Reyna, PLLC","Zinda Law Group","FVF Law","Lorenz & Lorenz, L.L.P.","The Zimmerman Law Firm","McMinn Law Firm","Amaro Law Firm Injury & Accident Lawyers","Zinda Law Group","The Carlson Law Firm","Funk & Associates","Alex R. Hernandez Jr. PLLC - Round Rock","Joe Lopez Law","The Law Office of Carl Knickerbocker, P.C.","Robson Law Firm Injury Lawyer","Terry & Kelly, PLLC","Carabin & Shaw P.C., Attorneys At Law","Sutliff & Stout Injury & Accident Law Firm","The Law Office of Carl Knickerbocker, P.C.","Sutliff & Stout Injury & Accident Law Firm",
"20+","30.280448928065507","-97.90208347674363","https://www.google.com/maps/search/?api=1&query=30.280448928065507,30.280448928065507","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","David Komie Law","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","Colley Firm, P.C.","McMinn Law Firm","The Cagle Law Firm, P.C.","Joe Lopez Law","Lovins Trosclair, PLLC","Amaro Law Firm Injury & Accident Lawyers","Terry & Kelly, PLLC","Carabin & Shaw P.C., Attorneys At Law","Evans & Herlihy Law Firm: Serious Injury and Family Lawyers","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Zinda Law Group","Funk & Associates","Leonard B. Gabbay, P.C.",
"19","30.301101709770435","-97.90208347674363","https://www.google.com/maps/search/?api=1&query=30.301101709770435,30.301101709770435","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","Colley Firm, P.C.","Amaro Law Firm Injury & Accident Lawyers","David Komie Law","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Cagle Law Firm, P.C.","Lovins Trosclair, PLLC","Zinda Law Group","Funk & Associates","Evans & Herlihy Law Firm: Serious Injury and Family Lawyers","The Zimmerman Law Firm, P.C.","Zinda Law Group","Lee, Gober & Reyna, PLLC","Carabin & Shaw P.C., Attorneys At Law",
"13","30.321754491475364","-97.90208347674363","https://www.google.com/maps/search/?api=1&query=30.321754491475364,30.321754491475364","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Cagle Law Firm, P.C.","Zinda Law Group","Lovins Trosclair, PLLC","Lee, Gober & Reyna, PLLC","Colley Firm, P.C.","Funk & Associates","Evans & Herlihy Law Firm: Serious Injury and Family Lawyers","Zinda Law Group","David Komie Law","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC",
"10","30.34240727318029","-97.90208347674363","https://www.google.com/maps/search/?api=1&query=30.34240727318029,30.34240727318029","Amaro Law Firm Injury & Accident Lawyers","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Lee, Gober & Reyna, PLLC","Zinda Law Group","The Cagle Law Firm, P.C.","Funk & Associates","Zinda Law Group","Evans & Herlihy Law Firm: Serious Injury and Family Lawyers","The Law Office of Carl Knickerbocker, P.C.","Daspit Law Firm","Law Offices Of Vic Feazell, P.C.","Colley Firm, P.C.","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"8","30.363060054885217","-97.90208347674363","https://www.google.com/maps/search/?api=1&query=30.363060054885217,30.363060054885217","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Lee, Gober & Reyna, PLLC","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","Zinda Law Group","Daspit Law Firm","The Zimmerman Law Firm, P.C.","Law Offices Of Vic Feazell, P.C.","The Law Office of Carl Knickerbocker, P.C.","Wayne Wright, LLP Austin","Carabin & Shaw P.C., Attorneys At Law","Daniel Stark Law P.C.","Gibson Hill, P.C., Austin Accident Injury Lawyers",
