"Business:","GBM Law,495 S High St #400, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:42:50
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","3.45"
"ATRP:","3.45"
"SoLV:","66.22"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"8","40.01435534511478","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=40.01435534511478,40.01435534511478","Smith Law Office","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Elk & Elk Co., Ltd.","Bressman Law","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Fitch Law Firm","GBM Law","Gervelis Law Firm","Rinehardt Injury Attorneys","O'Connor, Acciani & Levy","Schiff & Associates","Robert W. Kerpsack Co., L.P.A.","Smith Law Office","The Donahey Law Firm","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Bressman Law",
"9","40.035008126819704","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=40.035008126819704,40.035008126819704","Elk & Elk Co., Ltd.","Smith Law Office","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","The Fitch Law Firm","Rinehardt Injury Attorneys","Robert W. Kerpsack Co., L.P.A.","GBM Law","Gervelis Law Firm","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Schiff & Associates","Colombo Law","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","E. Ray Critchett, LLC Attorney at Law","Slater & Zurz LLP",
"9","40.05566090852464","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=40.05566090852464,40.05566090852464","Bressman Law","Elk & Elk Co., Ltd.","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","The Fitch Law Firm","Rinehardt Injury Attorneys","GBM Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Gervelis Law Firm","O'Connor, Acciani & Levy","Michael D. Christensen Law Offices, LLC","Schiff & Associates","Colombo Law","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Slater & Zurz LLP",
"10","40.07631369022956","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=40.07631369022956,40.07631369022956","Bressman Law","Elk & Elk Co., Ltd.","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","The Fitch Law Firm","GBM Law","Gervelis Law Firm","O'Connor, Acciani & Levy","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Colombo Law","Smith Law Office","The Donahey Law Firm","Slater & Zurz LLP","E. Ray Critchett, LLC Attorney at Law","Beausay & Nichols Law Firm",
"10","40.096966471934486","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=40.096966471934486,40.096966471934486","Bressman Law","Elk & Elk Co., Ltd.","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","The Fitch Law Firm","GBM Law","Gervelis Law Firm","O'Connor, Acciani & Levy","Colombo Law","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Smith Law Office","Slater & Zurz LLP","The Donahey Law Firm","Oliver Law Office","E. Ray Critchett, LLC Attorney at Law",
"1","39.80782752806551","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.80782752806551,39.80782752806551","GBM Law","Schiff & Associates","The Fitch Law Firm","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","E. Ray Critchett, LLC Attorney at Law","Smith Law Office","Gervelis Law Firm","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Rafidi, Pallante & Melewski, LLC","Bressman Law","Bressman Law","Rourke & Blumenthal","Elk & Elk Co., Ltd.","Smith Law Office",
"1","39.828480309770434","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.828480309770434,39.828480309770434","GBM Law","The Fitch Law Firm","Schiff & Associates","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Gervelis Law Firm","Kisling, Nestico & Redick","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Rinehardt Injury Attorneys","Bressman Law","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.",
"1","39.84913309147536","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.84913309147536,39.84913309147536","GBM Law","The Fitch Law Firm","Schiff & Associates","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Donahey Law Firm","E. Ray Critchett, LLC Attorney at Law","Smith Law Office","Kisling, Nestico & Redick","Gervelis Law Firm","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Rafidi, Pallante & Melewski, LLC","Bressman Law","Rourke & Blumenthal","Elk & Elk Co., Ltd.","Smith Law Office","Bressman Law",
"1","39.86978587318029","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.86978587318029,39.86978587318029","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Gervelis Law Firm","The Donahey Law Firm","Smith Law Office","Kisling, Nestico & Redick","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Bressman Law","Rourke & Blumenthal","Elk & Elk Co., Ltd.","Smith Law Office",
"2","39.890438654885216","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.890438654885216,39.890438654885216","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","Gervelis Law Firm","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Kisling, Nestico & Redick","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Colombo Law","Bressman Law","Smith Law Office","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Law Office of Darin Kendall & Company, LLC",
"2","39.91109143659014","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.91109143659014,39.91109143659014","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","Gervelis Law Firm","O'Connor, Acciani & Levy","Smith Law Office","The Donahey Law Firm","Kisling, Nestico & Redick","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Bressman Law","Rinehardt Injury Attorneys","Smith Law Office","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"2","39.93174421829507","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.93174421829507,39.93174421829507","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Gervelis Law Firm","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Bressman Law","Rinehardt Injury Attorneys","Colombo Law","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"2","39.952397","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.952397,39.952397","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Schiff & Associates","Kisling, Nestico & Redick","The Donahey Law Firm","Bressman Law","Kevin Kurgis Law","O'Connor, Acciani & Levy","Colombo Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Rinehardt Injury Attorneys","Erney Law","E. Ray Critchett, LLC Attorney at Law","Slater & Zurz LLP","Malek & Malek Law Firm","Smith Law Office","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Elk & Elk Co., Ltd.",
"4","39.97304978170492","-83.16092791308293","https://www.google.com/maps/search/?api=1&query=39.97304978170492,39.97304978170492","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Gervelis Law Firm","GBM Law","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Smith Law Office","Bressman Law","Elk & Elk Co., Ltd.","The Donahey Law Firm","Smith Law Office","Rinehardt Injury Attorneys","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
