"Business:","Reiff Law Firm,1500 John F Kennedy Blvd #501, Philadelphia, PA 19102"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 12:53:32
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.04"
"ATRP:","18.30"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.01547054511478","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=40.01547054511478,40.01547054511478","The Levin Firm","Ciccarelli Law Offices","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","The Brod Law Firm","Rosenbaum & Associates","MyPhillyLawyer","KaplunMarx","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Philly Injury Law","Villari, Brandes & Giannone, P.C.","Ostroff Injury Law","Katz Injury Law Firm","Steven L. Chung, Esquire, LLC",
"20","40.036123326819705","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=40.036123326819705,40.036123326819705","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Ostroff Injury Law","KaplunMarx","MyPhillyLawyer","Rosenbaum & Associates","Law Offices Of Jeffrey H. Penneys, P.C.","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Lundy Law","Philadelphia Injury Lawyers P.C.","Zavodnick, Zavodnick & Lasky, LLC","Car Accident Lawyers Philadelphia LLC","Villari, Brandes & Giannone, P.C.","Steven L. Chung, Esquire, LLC","Dan Doyle Law Group Personal Injury Attorney","Soloff & Zervanos Personal Injury Attorney","The Law Offices of Greg Prosmushkin, P.C.","The Rothenberg Law Firm LLP","Reiff Law Firm",
"20+","40.05677610852464","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=40.05677610852464,40.05677610852464","The Levin Firm","Ciccarelli Law Offices","The Levin Firm","Ostroff Injury Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Villari, Brandes & Giannone, P.C.","Car Accident Lawyers Philadelphia LLC","The Brod Law Firm","Rosenbaum & Associates","KaplunMarx","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Carpey Law","Philly Injury Law","Dan Doyle Law Group Personal Injury Attorney",
"20+","40.07742889022956","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=40.07742889022956,40.07742889022956","The Levin Firm","Jon Ostroff, Personal Injury Attorney","Ciccarelli Law Offices","Spear Greenfield Personal Injury Attorneys","The Brod Law Firm","The Levin Firm","Ostroff Injury Law","Philly Injury Law","The Law Offices of Creedon & Feliciani, P.C.","Picker Jonathan","Villari, Brandes & Giannone, P.C.","Car Accident Lawyers Philadelphia LLC","Munley Law Personal Injury Attorneys","Carpey Law","The Law Offices Of Mitchell Clair","Rosenbaum & Associates","Philly Injury Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","KaplunMarx","Patriot Firm",
"20+","40.09808167193449","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=40.09808167193449,40.09808167193449","The Levin Firm","Ostroff Injury Law","The Levin Firm","Villari, Brandes & Giannone, P.C.","Car Accident Lawyers Philadelphia LLC","Carpey Law","The Brod Law Firm","Spear Greenfield Personal Injury Attorneys","Ciccarelli Law Offices","Picker Jonathan","Munley Law Personal Injury Attorneys","The Law Offices of Creedon & Feliciani, P.C.","KaplunMarx","Philly Injury Law","Patriot Firm","Philly Injury Law","Rosenbaum & Associates","Philly Injury Law","Ethen Ostroff, Personal Injury Lawyer","The Law Offices Of Mitchell Clair",
"16","39.80894272806551","-75.32730814878443","https://www.google.com/maps/search/?api=1&query=39.80894272806551,39.80894272806551","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Petrillo & Goldberg Law","Dan Doyle Law Group Personal Injury Attorney","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Justice Guardians","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Delaware Injury lawyer","Silverman, McDonald & Friedman","Lundy Law","KaplunMarx",
"16","39.829595509770435","-75.32730814878443","https://www.google.com/maps/search/?api=1&query=39.829595509770435,39.829595509770435","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Justice Guardians","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Petrillo & Goldberg Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Steven L. Chung, Esquire, LLC","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Reiff Law Firm","KaplunMarx","KaplunMarx","Silverman, McDonald & Friedman","Delaware Injury lawyer",
"15","39.85024829147536","-75.32730814878443","https://www.google.com/maps/search/?api=1&query=39.85024829147536,39.85024829147536","The Levin Firm","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","MyPhillyLawyer","Car Accident Lawyers Philadelphia LLC","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Petrillo & Goldberg Law","Steven L. Chung, Esquire, LLC","Reiff Law Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","KaplunMarx","KaplunMarx","Donaghue & Labrum, LLP","Carpey Law",
"16","39.87090107318029","-75.32730814878443","https://www.google.com/maps/search/?api=1&query=39.87090107318029,39.87090107318029","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Donaghue & Labrum, LLP","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Car Accident Lawyers Philadelphia LLC","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Petrillo & Goldberg Law","Steven L. Chung, Esquire, LLC","Reiff Law Firm","TopDog Law","KaplunMarx","PhillyLaw Injury Lawyer","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.",
"17","39.89155385488522","-75.32730814878443","https://www.google.com/maps/search/?api=1&query=39.89155385488522,39.89155385488522","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","TopDog Law","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Donaghue & Labrum, LLP","Car Accident Lawyers Philadelphia LLC","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Steven L. Chung, Esquire, LLC","Petrillo & Goldberg Law","Reiff Law Firm","KaplunMarx","PhillyLaw Injury Lawyer","Carpey Law",
